"Year and week of notification"	"Age stratification: 5 year intervals"
""	"A00..04"	"A05..09"	"A10..14"	"A15..19"	"A20..24"	"A25..29"	"A30..34"	"A35..39"	"A40..44"	"A45..49"	"A50..54"	"A55..59"	"A60..64"	"A65..69"	"A70..74"	"A75..79"	"A80+"	"Unknown"
"2010-w29"	"68"	"14"	"11"	"13"	"15"	"15"	"7"	"1"	"8"	"15"	"13"	"9"	"9"	"13"	"14"	"7"	"23"	""
"2010-w30"	"44"	"17"	"12"	"8"	"11"	"15"	"13"	"8"	"8"	"15"	"10"	"17"	"14"	"7"	"20"	"18"	"18"	""
"2010-w31"	"50"	"14"	"11"	"2"	"5"	"15"	"4"	"9"	"7"	"12"	"10"	"5"	"9"	"17"	"17"	"14"	"18"	""
"2010-w32"	"58"	"12"	"12"	"6"	"6"	"16"	"6"	"6"	"10"	"7"	"8"	"12"	"11"	"12"	"13"	"10"	"15"	""
"2010-w33"	"59"	"12"	"11"	"8"	"14"	"11"	"13"	"13"	"11"	"13"	"14"	"12"	"7"	"12"	"16"	"17"	"16"	""
"2010-w34"	"48"	"15"	"9"	"9"	"10"	"14"	"10"	"7"	"10"	"9"	"11"	"7"	"6"	"5"	"8"	"7"	"13"	""
"2010-w35"	"56"	"16"	"7"	"5"	"11"	"12"	"4"	"7"	"4"	"8"	"3"	"13"	"2"	"13"	"9"	"11"	"12"	""
"2010-w36"	"59"	"11"	"8"	"6"	"7"	"12"	"4"	"4"	"7"	"6"	"9"	"7"	"5"	"7"	"12"	"11"	"14"	""
"2010-w37"	"79"	"8"	"11"	"4"	"10"	"7"	"11"	"9"	"7"	"8"	"4"	"13"	"4"	"11"	"9"	"5"	"18"	""
"2010-w38"	"85"	"12"	"9"	"9"	"9"	"8"	"9"	"9"	"4"	"4"	"14"	"7"	"7"	"3"	"5"	"6"	"13"	""
"2010-w39"	"85"	"21"	"10"	"5"	"6"	"9"	"7"	"8"	"8"	"8"	"7"	"3"	"9"	"6"	"16"	"12"	"5"	""
"2010-w40"	"78"	"15"	"15"	"11"	"5"	"10"	"10"	"10"	"6"	"6"	"11"	"7"	"7"	"7"	"13"	"6"	"13"	""
"2010-w41"	"101"	"23"	"10"	"10"	"14"	"15"	"9"	"7"	"9"	"6"	"8"	"8"	"6"	"7"	"8"	"15"	"13"	""
"2010-w42"	"104"	"18"	"9"	"11"	"10"	"12"	"13"	"4"	"11"	"6"	"8"	"10"	"10"	"13"	"13"	"13"	"22"	""
"2010-w43"	"128"	"25"	"12"	"9"	"19"	"16"	"16"	"11"	"24"	"12"	"16"	"18"	"18"	"15"	"31"	"16"	"33"	""
"2010-w44"	"160"	"28"	"25"	"16"	"8"	"14"	"10"	"16"	"12"	"18"	"16"	"13"	"21"	"24"	"26"	"25"	"38"	""
"2010-w45"	"185"	"33"	"23"	"22"	"23"	"22"	"17"	"15"	"18"	"20"	"15"	"21"	"16"	"26"	"32"	"27"	"40"	""
"2010-w46"	"239"	"55"	"23"	"15"	"18"	"20"	"19"	"21"	"19"	"21"	"15"	"12"	"13"	"21"	"26"	"24"	"46"	""
"2010-w47"	"244"	"47"	"26"	"19"	"25"	"28"	"22"	"16"	"21"	"19"	"23"	"19"	"17"	"35"	"33"	"31"	"40"	""
"2010-w48"	"225"	"42"	"25"	"25"	"23"	"17"	"27"	"25"	"21"	"13"	"30"	"25"	"15"	"27"	"50"	"37"	"78"	""
"2010-w49"	"276"	"69"	"38"	"27"	"30"	"23"	"23"	"20"	"26"	"31"	"36"	"31"	"34"	"40"	"62"	"48"	"114"	""
"2010-w50"	"253"	"69"	"34"	"25"	"36"	"32"	"31"	"41"	"23"	"36"	"41"	"39"	"41"	"43"	"73"	"84"	"99"	""
"2010-w51"	"225"	"50"	"21"	"24"	"33"	"22"	"33"	"24"	"29"	"30"	"28"	"31"	"36"	"49"	"61"	"78"	"100"	""
"2010-w52"	"144"	"28"	"13"	"16"	"28"	"29"	"26"	"27"	"23"	"30"	"30"	"29"	"35"	"51"	"83"	"73"	"149"	""
"2011-w01"	"158"	"32"	"21"	"22"	"38"	"35"	"18"	"33"	"36"	"50"	"51"	"53"	"62"	"66"	"138"	"121"	"223"	""
"2011-w02"	"250"	"39"	"28"	"39"	"51"	"37"	"34"	"44"	"50"	"53"	"60"	"78"	"69"	"86"	"144"	"128"	"233"	""
"2011-w03"	"268"	"46"	"27"	"30"	"32"	"36"	"39"	"36"	"51"	"49"	"67"	"75"	"48"	"73"	"115"	"98"	"179"	""
"2011-w04"	"332"	"68"	"31"	"27"	"37"	"35"	"37"	"25"	"45"	"45"	"46"	"59"	"60"	"58"	"96"	"118"	"166"	"1"
"2011-w05"	"314"	"65"	"22"	"31"	"46"	"50"	"42"	"37"	"48"	"57"	"69"	"71"	"64"	"69"	"113"	"123"	"209"	"1"
"2011-w06"	"313"	"59"	"33"	"25"	"46"	"45"	"46"	"46"	"50"	"44"	"74"	"73"	"62"	"98"	"161"	"125"	"262"	""
"2011-w07"	"318"	"56"	"39"	"30"	"52"	"42"	"25"	"43"	"46"	"48"	"60"	"71"	"67"	"73"	"123"	"131"	"226"	"1"
"2011-w08"	"311"	"62"	"33"	"18"	"41"	"33"	"40"	"26"	"52"	"59"	"61"	"67"	"64"	"89"	"155"	"144"	"262"	""
"2011-w09"	"341"	"57"	"35"	"34"	"46"	"36"	"42"	"33"	"42"	"55"	"72"	"62"	"95"	"139"	"183"	"176"	"296"	"1"
"2011-w10"	"345"	"52"	"38"	"27"	"50"	"48"	"46"	"42"	"50"	"83"	"80"	"90"	"90"	"125"	"195"	"203"	"321"	""
"2011-w11"	"379"	"54"	"42"	"40"	"50"	"56"	"46"	"53"	"69"	"84"	"77"	"100"	"122"	"107"	"181"	"198"	"368"	""
"2011-w12"	"350"	"71"	"44"	"30"	"54"	"50"	"46"	"55"	"58"	"60"	"80"	"91"	"94"	"117"	"163"	"193"	"310"	"2"
"2011-w13"	"375"	"54"	"28"	"36"	"54"	"43"	"33"	"39"	"62"	"69"	"75"	"88"	"90"	"102"	"176"	"156"	"275"	""
"2011-w14"	"268"	"57"	"37"	"35"	"41"	"34"	"47"	"42"	"41"	"56"	"51"	"67"	"66"	"94"	"158"	"155"	"240"	""
"2011-w15"	"265"	"34"	"32"	"15"	"30"	"35"	"35"	"26"	"33"	"35"	"43"	"63"	"49"	"74"	"94"	"114"	"170"	"2"
"2011-w16"	"160"	"43"	"18"	"21"	"27"	"25"	"32"	"24"	"33"	"38"	"38"	"50"	"50"	"68"	"100"	"97"	"179"	""
"2011-w17"	"149"	"29"	"19"	"28"	"28"	"25"	"16"	"24"	"20"	"32"	"36"	"38"	"51"	"44"	"67"	"85"	"114"	""
"2011-w18"	"189"	"27"	"21"	"24"	"27"	"29"	"20"	"25"	"28"	"38"	"33"	"53"	"47"	"39"	"69"	"82"	"133"	"1"
"2011-w19"	"165"	"36"	"21"	"31"	"29"	"22"	"26"	"20"	"16"	"28"	"26"	"29"	"28"	"33"	"64"	"65"	"87"	"3"
"2011-w20"	"159"	"37"	"30"	"12"	"24"	"22"	"28"	"20"	"17"	"32"	"39"	"41"	"42"	"30"	"50"	"62"	"91"	"1"
"2011-w21"	"197"	"44"	"36"	"30"	"48"	"34"	"34"	"26"	"29"	"41"	"40"	"46"	"51"	"49"	"72"	"71"	"102"	"1"
"2011-w22"	"175"	"36"	"44"	"33"	"40"	"53"	"34"	"35"	"49"	"62"	"52"	"57"	"33"	"37"	"70"	"55"	"105"	"1"
"2011-w23"	"177"	"35"	"41"	"26"	"56"	"52"	"49"	"41"	"47"	"51"	"37"	"45"	"40"	"47"	"61"	"52"	"83"	"2"
"2011-w24"	"109"	"19"	"24"	"25"	"24"	"37"	"32"	"31"	"21"	"30"	"26"	"31"	"21"	"23"	"38"	"25"	"48"	""
"2011-w25"	"117"	"21"	"22"	"19"	"30"	"22"	"14"	"20"	"25"	"29"	"24"	"18"	"17"	"18"	"41"	"20"	"43"	""
"2011-w26"	"94"	"20"	"14"	"16"	"21"	"28"	"24"	"16"	"21"	"13"	"19"	"25"	"21"	"20"	"27"	"19"	"35"	""
"2011-w27"	"85"	"20"	"15"	"8"	"19"	"26"	"23"	"17"	"16"	"17"	"19"	"19"	"11"	"17"	"29"	"12"	"21"	""
"2011-w28"	"84"	"22"	"12"	"15"	"18"	"24"	"13"	"11"	"16"	"14"	"21"	"22"	"21"	"20"	"26"	"29"	"37"	""
"2011-w29"	"79"	"16"	"10"	"11"	"22"	"22"	"12"	"11"	"17"	"9"	"21"	"17"	"15"	"18"	"18"	"16"	"25"	"1"
"2011-w30"	"78"	"13"	"8"	"10"	"19"	"9"	"14"	"9"	"10"	"10"	"10"	"15"	"6"	"8"	"22"	"20"	"30"	""
"2011-w31"	"63"	"16"	"10"	"12"	"15"	"7"	"12"	"15"	"9"	"12"	"10"	"15"	"8"	"14"	"15"	"8"	"32"	""
"2011-w32"	"73"	"6"	"11"	"10"	"20"	"21"	"12"	"14"	"15"	"12"	"12"	"11"	"13"	"15"	"16"	"30"	"27"	"1"
"2011-w33"	"60"	"9"	"7"	"5"	"11"	"11"	"7"	"9"	"7"	"11"	"16"	"7"	"11"	"7"	"11"	"17"	"20"	"4"
"2011-w34"	"55"	"15"	"9"	"3"	"13"	"12"	"14"	"10"	"16"	"13"	"8"	"14"	"10"	"8"	"21"	"11"	"23"	""
"2011-w35"	"70"	"12"	"11"	"12"	"11"	"16"	"18"	"10"	"5"	"13"	"11"	"21"	"10"	"5"	"21"	"11"	"17"	""
"2011-w36"	"96"	"19"	"8"	"9"	"8"	"13"	"9"	"7"	"9"	"10"	"10"	"12"	"13"	"12"	"23"	"11"	"16"	"3"
"2011-w37"	"91"	"17"	"9"	"16"	"10"	"11"	"16"	"11"	"8"	"19"	"9"	"11"	"9"	"14"	"16"	"20"	"18"	""
"2011-w38"	"107"	"18"	"12"	"13"	"12"	"18"	"19"	"21"	"10"	"21"	"19"	"16"	"14"	"13"	"18"	"21"	"23"	""
"2011-w39"	"124"	"15"	"7"	"7"	"8"	"18"	"10"	"9"	"14"	"12"	"19"	"13"	"14"	"7"	"24"	"24"	"26"	"3"
"2011-w40"	"138"	"10"	"14"	"2"	"15"	"19"	"12"	"8"	"7"	"12"	"15"	"12"	"12"	"10"	"17"	"13"	"24"	""
"2011-w41"	"159"	"12"	"9"	"11"	"15"	"28"	"17"	"15"	"13"	"22"	"11"	"13"	"15"	"15"	"18"	"21"	"43"	""
"2011-w42"	"191"	"18"	"10"	"11"	"5"	"18"	"12"	"14"	"16"	"13"	"15"	"25"	"19"	"22"	"36"	"22"	"48"	"2"
"2011-w43"	"244"	"24"	"13"	"16"	"16"	"16"	"16"	"20"	"13"	"27"	"27"	"16"	"26"	"32"	"48"	"32"	"58"	""
"2011-w44"	"211"	"18"	"9"	"10"	"21"	"26"	"17"	"18"	"19"	"31"	"33"	"30"	"27"	"18"	"50"	"42"	"66"	""
"2011-w45"	"327"	"22"	"15"	"13"	"24"	"34"	"27"	"27"	"39"	"27"	"42"	"42"	"38"	"41"	"52"	"61"	"83"	"1"
"2011-w46"	"404"	"42"	"19"	"11"	"23"	"38"	"33"	"36"	"35"	"35"	"52"	"44"	"35"	"62"	"78"	"78"	"114"	""
"2011-w47"	"455"	"37"	"24"	"27"	"29"	"34"	"49"	"46"	"32"	"52"	"57"	"58"	"56"	"65"	"97"	"87"	"167"	""
"2011-w48"	"537"	"53"	"25"	"27"	"35"	"43"	"50"	"35"	"58"	"53"	"71"	"87"	"78"	"97"	"162"	"162"	"295"	"1"
"2011-w49"	"559"	"70"	"36"	"45"	"51"	"47"	"40"	"34"	"54"	"71"	"83"	"82"	"113"	"86"	"178"	"172"	"290"	"2"
"2011-w50"	"621"	"67"	"52"	"41"	"65"	"68"	"61"	"53"	"66"	"72"	"99"	"105"	"98"	"108"	"187"	"196"	"318"	"1"
"2011-w51"	"572"	"57"	"43"	"37"	"49"	"48"	"75"	"55"	"60"	"82"	"71"	"110"	"92"	"119"	"185"	"189"	"352"	"4"
"2011-w52"	"282"	"32"	"15"	"27"	"40"	"51"	"43"	"34"	"41"	"53"	"57"	"64"	"69"	"73"	"140"	"161"	"292"	""
"2012-w01"	"291"	"55"	"34"	"20"	"44"	"61"	"44"	"37"	"48"	"73"	"62"	"82"	"84"	"74"	"143"	"167"	"314"	"1"
"2012-w02"	"390"	"33"	"31"	"33"	"45"	"48"	"43"	"45"	"58"	"78"	"72"	"97"	"96"	"95"	"198"	"175"	"339"	""
"2012-w03"	"387"	"51"	"34"	"37"	"53"	"44"	"54"	"35"	"64"	"60"	"72"	"80"	"93"	"83"	"160"	"179"	"303"	"2"
"2012-w04"	"447"	"56"	"39"	"31"	"52"	"44"	"60"	"45"	"58"	"70"	"82"	"99"	"71"	"107"	"176"	"189"	"295"	""
"2012-w05"	"431"	"57"	"32"	"38"	"48"	"43"	"48"	"43"	"62"	"64"	"76"	"92"	"90"	"108"	"213"	"190"	"346"	"2"
"2012-w06"	"412"	"57"	"33"	"47"	"62"	"52"	"40"	"36"	"58"	"79"	"75"	"118"	"104"	"121"	"240"	"241"	"398"	""
"2012-w07"	"515"	"81"	"30"	"43"	"58"	"69"	"73"	"51"	"73"	"107"	"120"	"117"	"134"	"136"	"277"	"255"	"473"	"3"
"2012-w08"	"507"	"66"	"48"	"36"	"59"	"63"	"74"	"75"	"82"	"104"	"126"	"120"	"122"	"156"	"301"	"317"	"512"	"2"
"2012-w09"	"446"	"90"	"44"	"43"	"69"	"53"	"58"	"54"	"66"	"91"	"102"	"132"	"125"	"135"	"260"	"266"	"466"	"3"
"2012-w10"	"430"	"74"	"32"	"34"	"49"	"60"	"53"	"48"	"60"	"89"	"97"	"103"	"88"	"115"	"207"	"207"	"378"	""
"2012-w11"	"415"	"67"	"25"	"34"	"35"	"38"	"50"	"38"	"46"	"64"	"81"	"93"	"83"	"116"	"185"	"178"	"316"	"2"
"2012-w12"	"300"	"48"	"24"	"26"	"38"	"37"	"48"	"38"	"46"	"65"	"64"	"65"	"72"	"80"	"141"	"144"	"275"	""
"2012-w13"	"246"	"47"	"33"	"20"	"30"	"23"	"31"	"33"	"43"	"51"	"58"	"52"	"62"	"74"	"110"	"117"	"220"	""
"2012-w14"	"192"	"24"	"23"	"19"	"21"	"27"	"26"	"28"	"28"	"43"	"47"	"47"	"64"	"63"	"103"	"110"	"197"	""
"2012-w15"	"187"	"25"	"20"	"14"	"25"	"21"	"29"	"24"	"21"	"31"	"42"	"54"	"51"	"58"	"103"	"105"	"166"	"1"
"2012-w16"	"159"	"25"	"25"	"18"	"27"	"35"	"25"	"17"	"26"	"46"	"39"	"62"	"53"	"54"	"108"	"102"	"161"	""
"2012-w17"	"167"	"39"	"29"	"12"	"20"	"32"	"23"	"30"	"30"	"39"	"42"	"41"	"49"	"42"	"87"	"90"	"134"	""
"2012-w18"	"112"	"22"	"14"	"20"	"13"	"19"	"18"	"16"	"11"	"23"	"27"	"30"	"34"	"38"	"62"	"61"	"104"	""
"2012-w19"	"114"	"26"	"17"	"14"	"14"	"16"	"19"	"16"	"31"	"32"	"22"	"30"	"33"	"30"	"61"	"58"	"81"	"2"
"2012-w20"	"95"	"19"	"12"	"8"	"8"	"14"	"11"	"12"	"15"	"9"	"16"	"20"	"22"	"19"	"31"	"30"	"56"	"1"
"2012-w21"	"89"	"21"	"12"	"10"	"9"	"12"	"11"	"11"	"17"	"13"	"26"	"17"	"16"	"22"	"46"	"24"	"66"	"1"
"2012-w22"	"63"	"17"	"9"	"6"	"14"	"12"	"14"	"15"	"11"	"8"	"10"	"13"	"12"	"11"	"33"	"29"	"41"	""
"2012-w23"	"77"	"16"	"8"	"7"	"16"	"17"	"5"	"11"	"17"	"9"	"15"	"12"	"11"	"17"	"19"	"18"	"29"	""
"2012-w24"	"69"	"17"	"13"	"17"	"10"	"5"	"12"	"4"	"16"	"12"	"11"	"24"	"14"	"18"	"25"	"30"	"38"	""
"2012-w25"	"65"	"18"	"14"	"7"	"18"	"16"	"12"	"14"	"11"	"10"	"15"	"19"	"12"	"12"	"14"	"17"	"28"	"1"
"2012-w26"	"78"	"21"	"13"	"13"	"8"	"8"	"18"	"16"	"12"	"18"	"8"	"25"	"8"	"11"	"13"	"17"	"30"	"1"
"2012-w27"	"55"	"19"	"9"	"8"	"18"	"19"	"13"	"11"	"10"	"13"	"12"	"17"	"7"	"13"	"14"	"13"	"27"	""
"2012-w28"	"81"	"14"	"12"	"5"	"7"	"14"	"16"	"4"	"13"	"11"	"15"	"15"	"11"	"10"	"20"	"17"	"16"	""
"2012-w29"	"72"	"16"	"10"	"8"	"15"	"9"	"12"	"6"	"12"	"8"	"5"	"12"	"11"	"8"	"9"	"12"	"15"	"1"
"2012-w30"	"68"	"14"	"11"	"8"	"15"	"12"	"7"	"7"	"11"	"10"	"10"	"11"	"12"	"10"	"14"	"6"	"16"	"1"
"2012-w31"	"71"	"24"	"10"	"11"	"14"	"8"	"12"	"11"	"10"	"13"	"8"	"13"	"11"	"6"	"13"	"14"	"20"	""
"2012-w32"	"63"	"16"	"11"	"9"	"7"	"13"	"12"	"9"	"8"	"19"	"6"	"7"	"9"	"8"	"14"	"12"	"18"	""
"2012-w33"	"69"	"9"	"8"	"7"	"15"	"13"	"7"	"10"	"5"	"11"	"11"	"11"	"11"	"10"	"14"	"12"	"12"	""
"2012-w34"	"64"	"26"	"17"	"13"	"13"	"13"	"10"	"8"	"14"	"13"	"9"	"11"	"7"	"8"	"13"	"16"	"16"	""
"2012-w35"	"85"	"18"	"10"	"11"	"14"	"14"	"9"	"13"	"18"	"9"	"11"	"6"	"13"	"13"	"14"	"10"	"12"	""
"2012-w36"	"109"	"19"	"9"	"10"	"23"	"17"	"21"	"13"	"14"	"20"	"11"	"18"	"12"	"11"	"16"	"18"	"18"	"1"
"2012-w37"	"130"	"27"	"13"	"11"	"16"	"20"	"13"	"6"	"17"	"10"	"16"	"10"	"11"	"7"	"19"	"18"	"23"	""
"2012-w38"	"139"	"31"	"18"	"13"	"16"	"19"	"18"	"14"	"19"	"12"	"18"	"12"	"9"	"15"	"18"	"15"	"18"	""
"2012-w39"	"192"	"39"	"20"	"14"	"23"	"16"	"19"	"12"	"26"	"18"	"24"	"13"	"18"	"9"	"18"	"24"	"31"	""
"2012-w40"	"231"	"71"	"34"	"16"	"26"	"19"	"20"	"16"	"24"	"18"	"18"	"21"	"15"	"8"	"15"	"21"	"22"	""
"2012-w41"	"273"	"57"	"36"	"26"	"15"	"26"	"34"	"23"	"28"	"20"	"24"	"21"	"18"	"27"	"31"	"29"	"40"	"2"
"2012-w42"	"315"	"42"	"34"	"12"	"24"	"36"	"36"	"21"	"28"	"21"	"20"	"26"	"22"	"11"	"30"	"24"	"48"	"2"
"2012-w43"	"304"	"41"	"29"	"13"	"29"	"29"	"33"	"28"	"28"	"29"	"18"	"28"	"36"	"18"	"21"	"20"	"49"	""
"2012-w44"	"270"	"33"	"21"	"16"	"35"	"49"	"33"	"23"	"28"	"24"	"16"	"23"	"16"	"20"	"32"	"26"	"40"	""
"2012-w45"	"369"	"46"	"35"	"21"	"23"	"27"	"43"	"21"	"28"	"32"	"31"	"35"	"26"	"27"	"37"	"34"	"60"	""
"2012-w46"	"420"	"85"	"31"	"25"	"30"	"37"	"42"	"32"	"34"	"41"	"25"	"33"	"38"	"19"	"40"	"36"	"59"	""
"2012-w47"	"476"	"64"	"32"	"25"	"41"	"36"	"50"	"30"	"40"	"36"	"40"	"33"	"21"	"40"	"43"	"60"	"68"	""
"2012-w48"	"421"	"58"	"26"	"30"	"46"	"40"	"43"	"26"	"40"	"46"	"35"	"39"	"49"	"36"	"80"	"77"	"97"	""
"2012-w49"	"438"	"65"	"42"	"29"	"33"	"37"	"40"	"47"	"43"	"34"	"39"	"57"	"44"	"36"	"73"	"73"	"111"	""
"2012-w50"	"491"	"78"	"44"	"29"	"36"	"60"	"46"	"42"	"52"	"60"	"57"	"67"	"55"	"62"	"113"	"94"	"167"	"4"
"2012-w51"	"502"	"79"	"44"	"38"	"47"	"54"	"70"	"40"	"52"	"65"	"64"	"64"	"59"	"75"	"98"	"106"	"184"	"1"
"2012-w52"	"218"	"29"	"16"	"12"	"18"	"26"	"20"	"20"	"24"	"19"	"36"	"32"	"33"	"35"	"55"	"61"	"123"	""
"2013-w01"	"191"	"29"	"16"	"31"	"29"	"31"	"26"	"20"	"30"	"47"	"42"	"43"	"58"	"56"	"81"	"86"	"180"	"2"
"2013-w02"	"286"	"34"	"24"	"33"	"56"	"40"	"39"	"28"	"39"	"57"	"49"	"73"	"64"	"56"	"113"	"120"	"201"	"2"
"2013-w03"	"343"	"38"	"32"	"29"	"38"	"39"	"30"	"33"	"39"	"49"	"41"	"49"	"47"	"46"	"87"	"90"	"157"	"2"
"2013-w04"	"373"	"51"	"29"	"25"	"37"	"46"	"51"	"28"	"39"	"44"	"51"	"49"	"59"	"60"	"114"	"108"	"184"	"1"
"2013-w05"	"379"	"43"	"32"	"31"	"33"	"44"	"56"	"38"	"39"	"60"	"59"	"72"	"69"	"76"	"141"	"125"	"220"	""
"2013-w06"	"333"	"47"	"16"	"25"	"43"	"36"	"35"	"42"	"32"	"36"	"48"	"52"	"66"	"67"	"131"	"130"	"210"	"1"
"2013-w07"	"286"	"50"	"14"	"21"	"21"	"39"	"24"	"39"	"32"	"46"	"62"	"46"	"53"	"49"	"94"	"124"	"202"	"3"
"2013-w08"	"320"	"38"	"21"	"28"	"32"	"32"	"37"	"38"	"35"	"56"	"50"	"64"	"59"	"62"	"117"	"115"	"196"	"2"
"2013-w09"	"331"	"40"	"20"	"30"	"31"	"40"	"53"	"25"	"41"	"42"	"52"	"71"	"57"	"55"	"114"	"118"	"193"	""
"2013-w10"	"323"	"47"	"27"	"24"	"31"	"37"	"26"	"39"	"53"	"59"	"51"	"80"	"70"	"75"	"107"	"127"	"240"	"1"
"2013-w11"	"272"	"32"	"26"	"25"	"30"	"27"	"28"	"33"	"26"	"39"	"59"	"58"	"62"	"54"	"112"	"120"	"209"	"3"
"2013-w12"	"343"	"54"	"27"	"22"	"19"	"44"	"45"	"24"	"36"	"54"	"56"	"56"	"66"	"64"	"116"	"111"	"237"	"2"
"2013-w13"	"236"	"36"	"8"	"24"	"26"	"27"	"30"	"20"	"23"	"36"	"50"	"40"	"61"	"52"	"109"	"112"	"169"	"1"
"2013-w14"	"242"	"33"	"20"	"13"	"28"	"29"	"28"	"23"	"28"	"47"	"40"	"72"	"54"	"76"	"114"	"142"	"235"	"1"
"2013-w15"	"290"	"30"	"35"	"29"	"34"	"40"	"39"	"28"	"34"	"46"	"54"	"70"	"74"	"63"	"114"	"132"	"245"	""
"2013-w16"	"292"	"50"	"28"	"21"	"37"	"28"	"37"	"25"	"32"	"50"	"67"	"68"	"73"	"54"	"106"	"133"	"226"	"3"
"2013-w17"	"252"	"36"	"27"	"19"	"29"	"31"	"25"	"14"	"25"	"35"	"42"	"43"	"33"	"37"	"68"	"87"	"156"	"2"
"2013-w18"	"192"	"31"	"25"	"13"	"19"	"29"	"20"	"23"	"22"	"23"	"33"	"28"	"21"	"29"	"48"	"63"	"87"	""
"2013-w19"	"149"	"25"	"19"	"9"	"15"	"22"	"19"	"19"	"12"	"23"	"23"	"18"	"21"	"31"	"41"	"41"	"87"	"1"
"2013-w20"	"128"	"32"	"12"	"6"	"21"	"19"	"24"	"8"	"17"	"13"	"30"	"29"	"33"	"29"	"50"	"58"	"62"	""
"2013-w21"	"80"	"11"	"10"	"11"	"20"	"16"	"13"	"16"	"6"	"12"	"21"	"17"	"18"	"8"	"26"	"26"	"45"	""
"2013-w22"	"90"	"16"	"12"	"10"	"14"	"10"	"18"	"10"	"10"	"11"	"23"	"18"	"12"	"17"	"22"	"26"	"42"	""
"2013-w23"	"95"	"12"	"12"	"12"	"8"	"22"	"9"	"13"	"24"	"11"	"14"	"17"	"13"	"16"	"24"	"31"	"52"	""
"2013-w24"	"89"	"15"	"12"	"14"	"16"	"16"	"13"	"9"	"19"	"16"	"17"	"14"	"9"	"12"	"19"	"28"	"27"	"1"
"2013-w25"	"81"	"17"	"13"	"11"	"15"	"15"	"13"	"11"	"13"	"14"	"11"	"14"	"12"	"13"	"22"	"21"	"23"	"1"
"2013-w26"	"82"	"18"	"6"	"12"	"14"	"16"	"14"	"9"	"8"	"12"	"15"	"14"	"12"	"12"	"15"	"16"	"22"	""
"2013-w27"	"65"	"21"	"14"	"15"	"18"	"9"	"10"	"8"	"13"	"9"	"20"	"12"	"9"	"6"	"16"	"23"	"23"	""
"2013-w28"	"64"	"29"	"15"	"9"	"12"	"16"	"13"	"14"	"7"	"19"	"12"	"13"	"10"	"9"	"10"	"10"	"22"	""
"2013-w29"	"70"	"13"	"9"	"11"	"11"	"18"	"17"	"7"	"11"	"10"	"12"	"15"	"13"	"5"	"19"	"14"	"15"	""
"2013-w30"	"68"	"20"	"8"	"12"	"18"	"14"	"13"	"17"	"13"	"14"	"11"	"13"	"10"	"8"	"18"	"14"	"28"	""
"2013-w31"	"73"	"16"	"20"	"15"	"4"	"26"	"20"	"12"	"6"	"8"	"11"	"14"	"5"	"6"	"11"	"15"	"20"	""
"2013-w32"	"65"	"23"	"17"	"10"	"12"	"15"	"13"	"9"	"10"	"9"	"14"	"8"	"8"	"9"	"17"	"16"	"6"	""
"2013-w33"	"60"	"22"	"14"	"8"	"15"	"18"	"17"	"6"	"13"	"10"	"6"	"12"	"8"	"7"	"7"	"12"	"11"	""
"2013-w34"	"65"	"17"	"15"	"6"	"13"	"17"	"15"	"15"	"7"	"12"	"13"	"14"	"6"	"6"	"11"	"7"	"17"	""
"2013-w35"	"109"	"13"	"23"	"21"	"20"	"13"	"14"	"11"	"12"	"19"	"10"	"13"	"13"	"12"	"13"	"20"	"24"	""
"2013-w36"	"121"	"14"	"18"	"8"	"17"	"14"	"19"	"17"	"14"	"14"	"17"	"12"	"8"	"6"	"12"	"18"	"27"	""
"2013-w37"	"120"	"16"	"12"	"16"	"22"	"18"	"32"	"14"	"14"	"14"	"17"	"10"	"13"	"7"	"25"	"13"	"22"	""
"2013-w38"	"140"	"22"	"11"	"7"	"13"	"17"	"16"	"15"	"8"	"8"	"19"	"12"	"15"	"9"	"16"	"14"	"23"	""
"2013-w39"	"121"	"21"	"17"	"16"	"18"	"20"	"20"	"13"	"14"	"22"	"21"	"13"	"15"	"7"	"15"	"19"	"30"	""
"2013-w40"	"141"	"17"	"11"	"15"	"22"	"15"	"17"	"7"	"14"	"14"	"7"	"10"	"11"	"8"	"16"	"8"	"19"	""
"2013-w41"	"190"	"18"	"20"	"13"	"20"	"27"	"23"	"16"	"15"	"22"	"17"	"18"	"15"	"13"	"29"	"28"	"43"	""
"2013-w42"	"216"	"37"	"25"	"16"	"21"	"17"	"23"	"17"	"18"	"19"	"29"	"19"	"21"	"18"	"20"	"26"	"43"	""
"2013-w43"	"263"	"33"	"15"	"17"	"25"	"21"	"24"	"21"	"20"	"17"	"23"	"16"	"16"	"21"	"25"	"30"	"54"	"2"
"2013-w44"	"219"	"25"	"16"	"19"	"13"	"15"	"21"	"18"	"14"	"21"	"20"	"14"	"22"	"15"	"30"	"34"	"42"	""
"2013-w45"	"278"	"33"	"24"	"19"	"20"	"18"	"23"	"20"	"18"	"17"	"23"	"36"	"17"	"23"	"39"	"33"	"59"	""
"2013-w46"	"367"	"45"	"12"	"18"	"20"	"33"	"28"	"20"	"24"	"22"	"26"	"32"	"20"	"20"	"23"	"48"	"65"	""
"2013-w47"	"422"	"52"	"20"	"26"	"25"	"43"	"34"	"23"	"24"	"29"	"20"	"24"	"41"	"21"	"40"	"34"	"79"	""
