"time","season","pop","y","o104wk"
20,"2009",81802257,2481,0
21,"2009",81792126.0742188,3195,0
22,"2009",81781995.1601562,4091,0
23,"2009",81771863.7773438,6734,0
24,"2009",81761732.8007812,7388,0
25,"2009",81751602,7690,0
26,"2009",81751602,8412,0
27,"2009",81751602,9129,0
28,"2009",81751602,8620,0
29,"2009",81751602,8184,0
30,"2009",81751602,8530,0
31,"2009",81751602,7610,0
32,"2009",81751602,6674,0
33,"2009",81751602,6773,0
34,"2009",81751602,5970,0
35,"2009",81751602,3678,0
36,"2009",81751602,2987,0
37,"2009",81751602,3152,0
38,"2009",81751602,2784,0
39,"2009",81751602,2704,0
40,"2009",81751602,2299,0
41,"2009",81751602,1536,0
42,"2009",81751602,1724,0
43,"2009",81751602,1242,0
44,"2009",81751602,1010,0
45,"2009",81751602,1067,0
46,"2009",81751602,801,0
47,"2009",81751602,697,0
48,"2009",81751602,698,0
49,"2009",81751602,630,0
50,"2009",81751602,573,0
51,"2009",81751602,532,0
52,"2009",81751602,548,0
1,"2010",81751602,489,0
2,"2010",81751602,471,0
3,"2010",81751602,515,0
4,"2010",81751602,418,0
5,"2010",81751602,392,0
6,"2010",81751602,400,0
7,"2010",81751602,472,0
8,"2010",81751602,431,0
9,"2010",81751602,468,0
10,"2010",81751602,475,0
11,"2010",81751602,514,0
12,"2010",81751602,642,0
13,"2010",81751602,911,0
14,"2010",81751602,974,0
15,"2010",81751602,1244,0
16,"2010",81751602,1337,0
17,"2010",81751602,1460,0
18,"2010",81751602,1487,0
19,"2010",81751602,2066,0
20,"2010",81751602,2205,0
21,"2010",81751602,1986,0
22,"2010",81751602,1889,0
23,"2010",81751602,2679,0
24,"2010",81751602,3314,0
25,"2010",81751602,3048,0
26,"2010",81751602,2929,0
27,"2010",81751602,3297,0
28,"2010",81751602,3620,0
29,"2010",81751602,3269,0
30,"2010",81751602,3496,0
31,"2010",81751602,4039,0
32,"2010",81751602,4281,0
33,"2010",81751602,4638,0
34,"2010",81751602,4247,0
35,"2010",81751602,4039,0
36,"2010",81751602,3409,0
37,"2010",81751602,2675,0
38,"2010",81751602,2248,0
39,"2010",81751602,1862,0
40,"2010",81751602,1915,0
41,"2010",81751602,1627,0
42,"2010",81751602,1706,0
43,"2010",81751602,2068,1
44,"2010",81751602,2133,1
45,"2010",81751602,2063,1
46,"2010",81751602,1240,1
47,"2010",81751602,1073,1
48,"2010",81751602,922,1
49,"2010",81751602,847,1
50,"2010",81751602,869,1
51,"2010",81751602,725,1
52,"2010",81751602,648,1
1,"2011",81751602,561,0
2,"2011",81751602,626,0
3,"2011",81751602,540,0
4,"2011",81751602,542,0
5,"2011",81751602,579,0
6,"2011",81751602,646,0
7,"2011",81751602,681,0
8,"2011",81751602,791,0
9,"2011",81751602,828,0
10,"2011",81751602,785,0
11,"2011",81751602,970,0
12,"2011",81751602,1108,0
13,"2011",81751602,1399,0
14,"2011",81751602,1498,0
15,"2011",81751602,1934,0
16,"2011",81751602,2521,0
17,"2011",81751602,3061,0
18,"2011",81751602,4120,0
19,"2011",81751602,4495,0
20,"2011",81751602,4998,0
21,"2011",81751602,4932,0
22,"2011",81751602,3331,0
23,"2011",81751602,3646,0
24,"2011",81751602,4255,0
25,"2011",81751602,4150,0
26,"2011",81751602,4295,0
27,"2011",81751602,4608,0
28,"2011",81751602,4863,0
29,"2011",81751602,6003,0
30,"2011",81751602,6292,0
31,"2011",81751602,5772,0
32,"2011",81751602,4833,0
33,"2011",81751602,4178,0
34,"2011",81751602,3511,0
35,"2011",81751602,2930,0
36,"2011",81751602,2402,0
37,"2011",81751602,2211,0
38,"2011",81751602,2257,0
39,"2011",81751602,2045,0
40,"2011",81751602,1437,0
41,"2011",81751602,1386,0
42,"2011",81751602,851,0
43,"2011",81751602,972,0
44,"2011",81751602,679,0
45,"2011",81751602,693,0
46,"2011",81751602,707,0
47,"2011",81751602,651,0
48,"2011",81751602,654,0
49,"2011",81751602,617,0
50,"2011",81751602,568,0
51,"2011",81751602,517,0
52,"2011",81751602,504,0
