GENESIS-Tabelle: Temporär
Bevölkerung: Deutschland, Stichtag, Altersjahre,;;;;
Nationalität/Geschlecht/Familienstand;;;;
Fortschreibung des Bevölkerungsstandes;;;;
Deutschland;;;;
Bevölkerungsstand (Anzahl);;;;
;;Geschlecht;Geschlecht;Geschlecht
;;männlich;weiblich;Insgesamt
31.12.2001;unter 1 Jahr;378223;357532;735755
31.12.2001;1-Jährige;396041;376106;772147
31.12.2001;2-Jährige;398778;377140;775918
31.12.2001;3-Jährige;406442;385756;792198
31.12.2001;4-Jährige;419190;397776;816966
31.12.2001;5-Jährige;411907;390288;802195
31.12.2001;6-Jährige;397752;377911;775663
31.12.2001;7-Jährige;403117;381599;784716
31.12.2001;8-Jährige;419306;397776;817082
31.12.2001;9-Jährige;428898;408604;837502
31.12.2001;10-Jährige;446239;423991;870230
31.12.2001;11-Jährige;492255;466367;958622
31.12.2001;12-Jährige;486045;462446;948491
31.12.2001;13-Jährige;501162;474514;975676
31.12.2001;14-Jährige;491504;464179;955683
31.12.2001;15-Jährige;482359;457859;940218
31.12.2001;16-Jährige;467877;443535;911412
31.12.2001;17-Jährige;468529;442416;910945
31.12.2001;18-Jährige;473235;448991;922226
31.12.2001;19-Jährige;489213;466613;955826
31.12.2001;20-Jährige;490086;473113;963199
31.12.2001;21-Jährige;497077;481678;978755
31.12.2001;22-Jährige;477279;462043;939322
31.12.2001;23-Jährige;476474;460135;936609
31.12.2001;24-Jährige;476209;460023;936232
31.12.2001;25-Jährige;472961;455591;928552
31.12.2001;26-Jährige;465022;444432;909454
31.12.2001;27-Jährige;472865;454566;927431
31.12.2001;28-Jährige;481201;462026;943227
31.12.2001;29-Jährige;531500;507483;1038983
31.12.2001;30-Jährige;590072;561635;1151707
31.12.2001;31-Jährige;620851;586805;1207656
31.12.2001;32-Jährige;668931;630621;1299552
31.12.2001;33-Jährige;702313;661912;1364225
31.12.2001;34-Jährige;719760;680238;1399998
31.12.2001;35-Jährige;741654;698474;1440128
31.12.2001;36-Jährige;749802;700868;1450670
31.12.2001;37-Jährige;761752;715147;1476899
31.12.2001;38-Jährige;756610;712080;1468690
31.12.2001;39-Jährige;731961;692713;1424674
31.12.2001;40-Jährige;718261;686002;1404263
31.12.2001;41-Jährige;699318;668312;1367630
31.12.2001;42-Jährige;677160;647871;1325031
31.12.2001;43-Jährige;644096;615440;1259536
31.12.2001;44-Jährige;631785;604822;1236607
31.12.2001;45-Jährige;615441;592421;1207862
31.12.2001;46-Jährige;596413;578260;1174673
31.12.2001;47-Jährige;583747;574018;1157765
31.12.2001;48-Jährige;564535;559780;1124315
31.12.2001;49-Jährige;565876;562701;1128577
31.12.2001;50-Jährige;555406;552616;1108022
31.12.2001;51-Jährige;560042;557343;1117385
31.12.2001;52-Jährige;543760;536825;1080585
31.12.2001;53-Jährige;501852;493705;995557
31.12.2001;54-Jährige;471949;467632;939581
31.12.2001;55-Jährige;414488;411549;826037
31.12.2001;56-Jährige;365114;368610;733724
31.12.2001;57-Jährige;485962;489392;975354
31.12.2001;58-Jährige;495769;497207;992976
31.12.2001;59-Jährige;482451;485616;968067
31.12.2001;60-Jährige;580226;591029;1171255
31.12.2001;61-Jährige;609533;626891;1236424
31.12.2001;62-Jährige;594612;617621;1212233
31.12.2001;63-Jährige;551839;579000;1130839
31.12.2001;64-Jährige;511822;543033;1054855
31.12.2001;65-Jährige;492009;532131;1024140
31.12.2001;66-Jährige;470371;515092;985463
31.12.2001;67-Jährige;432441;479935;912376
31.12.2001;68-Jährige;342792;388815;731607
31.12.2001;69-Jährige;334961;389513;724474
31.12.2001;70-Jährige;333979;398120;732099
31.12.2001;71-Jährige;343333;421296;764629
31.12.2001;72-Jährige;323833;409166;732999
31.12.2001;73-Jährige;312418;406093;718511
31.12.2001;74-Jährige;270559;385885;656444
31.12.2001;75-Jährige;242840;389718;632558
31.12.2001;76-Jährige;220768;390129;610897
31.12.2001;77-Jährige;183764;368192;551956
31.12.2001;78-Jährige;168634;353258;521892
31.12.2001;79-Jährige;166706;354168;520874
31.12.2001;80-Jährige;158488;356990;515478
31.12.2001;81-Jährige;141000;334438;475438
31.12.2001;82-Jährige;97383;237857;335240
31.12.2001;83-Jährige;57017;144429;201446
31.12.2001;84-Jährige;49201;127908;177109
31.12.2001;85 Jahre und mehr;368270;1171822;1540092
31.12.2001;Insgesamt;40274676;42165633;82440309
31.12.2002;unter 1 Jahr;369289;349961;719250
31.12.2002;1-Jährige;380314;359233;739547
31.12.2002;2-Jährige;396983;376789;773772
31.12.2002;3-Jährige;399821;377990;777811
31.12.2002;4-Jährige;407275;386866;794141
31.12.2002;5-Jährige;420212;398788;819000
31.12.2002;6-Jährige;412468;390961;803429
31.12.2002;7-Jährige;398489;378585;777074
31.12.2002;8-Jährige;404264;382716;786980
31.12.2002;9-Jährige;420420;398939;819359
31.12.2002;10-Jährige;430218;409834;840052
31.12.2002;11-Jährige;447799;425454;873253
31.12.2002;12-Jährige;493694;467662;961356
31.12.2002;13-Jährige;487697;463838;951535
31.12.2002;14-Jährige;502846;476175;979021
31.12.2002;15-Jährige;493567;465853;959420
31.12.2002;16-Jährige;485015;460104;945119
31.12.2002;17-Jährige;470462;446076;916538
31.12.2002;18-Jährige;471313;446587;917900
31.12.2002;19-Jährige;477577;456882;934459
31.12.2002;20-Jährige;494852;475081;969933
31.12.2002;21-Jährige;495360;481082;976442
31.12.2002;22-Jährige;503355;489448;992803
31.12.2002;23-Jährige;483684;469301;952985
31.12.2002;24-Jährige;482374;466486;948860
31.12.2002;25-Jährige;480986;465023;946009
31.12.2002;26-Jährige;476784;459479;936263
31.12.2002;27-Jährige;468148;448021;916169
31.12.2002;28-Jährige;475458;457666;933124
31.12.2002;29-Jährige;483062;464778;947840
31.12.2002;30-Jährige;532633;509901;1042534
31.12.2002;31-Jährige;590676;563401;1154077
31.12.2002;32-Jährige;621491;588470;1209961
31.12.2002;33-Jährige;668732;631977;1300709
31.12.2002;34-Jährige;701693;662993;1364686
31.12.2002;35-Jährige;719129;681058;1400187
31.12.2002;36-Jährige;740886;699059;1439945
31.12.2002;37-Jährige;749010;701545;1450555
31.12.2002;38-Jährige;760650;715813;1476463
31.12.2002;39-Jährige;755526;712700;1468226
31.12.2002;40-Jährige;730879;693319;1424198
31.12.2002;41-Jährige;717079;686581;1403660
31.12.2002;42-Jährige;698105;668804;1366909
31.12.2002;43-Jährige;675938;648084;1324022
31.12.2002;44-Jährige;642578;615636;1258214
31.12.2002;45-Jährige;629865;604857;1234722
31.12.2002;46-Jährige;613286;592421;1205707
31.12.2002;47-Jährige;594351;578152;1172503
31.12.2002;48-Jährige;581622;573842;1155464
31.12.2002;49-Jährige;562098;559338;1121436
31.12.2002;50-Jährige;563319;562138;1125457
31.12.2002;51-Jährige;552731;551936;1104667
31.12.2002;52-Jährige;557010;556395;1113405
31.12.2002;53-Jährige;540643;535880;1076523
31.12.2002;54-Jährige;498732;492561;991293
31.12.2002;55-Jährige;468627;466310;934937
31.12.2002;56-Jährige;411242;410103;821345
31.12.2002;57-Jährige;361877;367189;729066
31.12.2002;58-Jährige;481399;487056;968455
31.12.2002;59-Jährige;490618;494905;985523
31.12.2002;60-Jährige;476877;483093;959970
31.12.2002;61-Jährige;573157;587876;1161033
31.12.2002;62-Jährige;601360;623230;1224590
31.12.2002;63-Jährige;585856;613855;1199711
31.12.2002;64-Jährige;543170;575094;1118264
31.12.2002;65-Jährige;503003;539031;1042034
31.12.2002;66-Jährige;482624;527628;1010252
31.12.2002;67-Jährige;460337;510085;970422
31.12.2002;68-Jährige;422062;474575;896637
31.12.2002;69-Jährige;333838;383941;717779
31.12.2002;70-Jährige;325434;384259;709693
31.12.2002;71-Jährige;323562;391946;715508
31.12.2002;72-Jährige;331539;414103;745642
31.12.2002;73-Jährige;311452;401316;712768
31.12.2002;74-Jährige;299464;397236;696700
31.12.2002;75-Jährige;258625;376283;634908
31.12.2002;76-Jährige;231082;379040;610122
31.12.2002;77-Jährige;209131;378085;587216
31.12.2002;78-Jährige;173095;355283;528378
31.12.2002;79-Jährige;157592;339161;496753
31.12.2002;80-Jährige;154664;337719;492383
31.12.2002;81-Jährige;145845;337832;483677
31.12.2002;82-Jährige;128495;314256;442751
31.12.2002;83-Jährige;87736;221711;309447
31.12.2002;84-Jährige;50798;133271;184069
31.12.2002;85 Jahre und mehr;347870;1103810;1451680
31.12.2002;Insgesamt;40344879;42191801;82536680
31.12.2003;unter 1 Jahr;362421;344028;706449
31.12.2003;1-Jährige;370736;352109;722845
31.12.2003;2-Jährige;380171;361064;741235
31.12.2003;3-Jährige;396207;378828;775035
31.12.2003;4-Jährige;400273;378483;778756
31.12.2003;5-Jährige;407658;387313;794971
31.12.2003;6-Jährige;420335;398767;819102
31.12.2003;7-Jährige;412673;391110;803783
31.12.2003;8-Jährige;399039;379224;778263
31.12.2003;9-Jährige;404824;383240;788064
31.12.2003;10-Jährige;420985;399442;820427
31.12.2003;11-Jährige;431053;410507;841560
31.12.2003;12-Jährige;448651;426319;874970
31.12.2003;13-Jährige;494597;468604;963201
31.12.2003;14-Jährige;488758;464691;953449
31.12.2003;15-Jährige;504035;477304;981339
31.12.2003;16-Jährige;495349;467245;962594
31.12.2003;17-Jährige;486862;461934;948796
31.12.2003;18-Jährige;472426;449253;921679
31.12.2003;19-Jährige;474765;453032;927797
31.12.2003;20-Jährige;481623;464112;945735
31.12.2003;21-Jährige;498660;481794;980454
31.12.2003;22-Jährige;499601;487404;987005
31.12.2003;23-Jährige;508377;495436;1003813
31.12.2003;24-Jährige;487949;474515;962464
31.12.2003;25-Jährige;485646;470501;956147
31.12.2003;26-Jährige;483637;467991;951628
31.12.2003;27-Jährige;478617;462290;940907
31.12.2003;28-Jährige;469205;450502;919707
31.12.2003;29-Jährige;475936;459612;935548
31.12.2003;30-Jährige;483232;466266;949498
31.12.2003;31-Jährige;532325;510994;1043319
31.12.2003;32-Jährige;590054;564360;1154414
31.12.2003;33-Jährige;620361;589176;1209537
31.12.2003;34-Jährige;667491;632541;1300032
31.12.2003;35-Jährige;700237;663363;1363600
31.12.2003;36-Jährige;717317;681060;1398377
31.12.2003;37-Jährige;739283;699164;1438447
31.12.2003;38-Jährige;747100;701375;1448475
31.12.2003;39-Jährige;758892;715641;1474533
31.12.2003;40-Jährige;753684;712675;1466359
31.12.2003;41-Jährige;729063;693407;1422470
31.12.2003;42-Jährige;715061;686487;1401548
31.12.2003;43-Jährige;695946;668695;1364641
31.12.2003;44-Jährige;674027;647871;1321898
31.12.2003;45-Jährige;640655;615396;1256051
31.12.2003;46-Jährige;627610;604427;1232037
31.12.2003;47-Jährige;610931;591955;1202886
31.12.2003;48-Jährige;591778;577655;1169433
31.12.2003;49-Jährige;578930;573232;1152162
31.12.2003;50-Jährige;559278;558512;1117790
31.12.2003;51-Jährige;560524;561268;1121792
31.12.2003;52-Jährige;549758;550897;1100655
31.12.2003;53-Jährige;553594;555181;1108775
31.12.2003;54-Jährige;536968;534667;1071635
31.12.2003;55-Jährige;495169;491104;986273
31.12.2003;56-Jährige;465088;464837;929925
31.12.2003;57-Jährige;407738;408462;816200
31.12.2003;58-Jährige;358310;365506;723816
31.12.2003;59-Jährige;476333;484588;960921
31.12.2003;60-Jährige;484919;492057;976976
31.12.2003;61-Jährige;470905;480366;951271
31.12.2003;62-Jährige;565585;584444;1150029
31.12.2003;63-Jährige;592512;619266;1211778
31.12.2003;64-Jährige;576707;609693;1186400
31.12.2003;65-Jährige;533882;570838;1104720
31.12.2003;66-Jährige;493438;534612;1028050
31.12.2003;67-Jährige;472682;522682;995364
31.12.2003;68-Jährige;449486;504721;954207
31.12.2003;69-Jährige;411268;468745;880013
31.12.2003;70-Jährige;324620;378768;703388
31.12.2003;71-Jährige;315408;378260;693668
31.12.2003;72-Jährige;312484;385298;697782
31.12.2003;73-Jährige;319018;406211;725229
31.12.2003;74-Jährige;298642;392774;691416
31.12.2003;75-Jährige;285903;387547;673450
31.12.2003;76-Jährige;246336;366831;613167
31.12.2003;77-Jährige;218806;367386;586192
31.12.2003;78-Jährige;196910;364987;561897
31.12.2003;79-Jährige;162044;341045;503089
31.12.2003;80-Jährige;146140;323624;469764
31.12.2003;81-Jährige;142313;319809;462122
31.12.2003;82-Jährige;133116;317537;450653
31.12.2003;83-Jährige;115805;292384;408189
31.12.2003;84-Jährige;78120;204624;282744
31.12.2003;85 Jahre und mehr;331159;1043732;1374891
31.12.2003;Insgesamt;40356014;42175657;82531671
31.12.2004;unter 1 Jahr;361549;343439;704988
31.12.2004;1-Jährige;364243;345803;710046
31.12.2004;2-Jährige;371475;352655;724130
31.12.2004;3-Jährige;380428;361283;741711
31.12.2004;4-Jährige;396435;379012;775447
31.12.2004;5-Jährige;400302;378516;778818
31.12.2004;6-Jährige;407388;386966;794354
31.12.2004;7-Jährige;420071;398667;818738
31.12.2004;8-Jährige;412765;391249;804014
31.12.2004;9-Jährige;399460;379602;779062
31.12.2004;10-Jährige;405184;383564;788748
31.12.2004;11-Jährige;421559;399815;821374
31.12.2004;12-Jährige;431646;410915;842561
31.12.2004;13-Jährige;449299;426856;876155
31.12.2004;14-Jährige;495319;469193;964512
31.12.2004;15-Jährige;489536;465614;955150
31.12.2004;16-Jährige;505393;478423;983816
31.12.2004;17-Jährige;496516;468695;965211
31.12.2004;18-Jährige;488461;464566;953027
31.12.2004;19-Jährige;475436;455224;930660
31.12.2004;20-Jährige;478381;459903;938284
31.12.2004;21-Jährige;485100;469994;955094
31.12.2004;22-Jährige;502269;487427;989696
